"","x$Date","WSEmax","VOLUME","lag","vol_chg","inflow"
"173",2018-04-27,122.43,25777.5484428406,26074.7932987213,-297.244855880737,0
"174",2018-04-28,122.42,25481.3992900848,25777.5484428406,-296.149152755737,0
"175",2018-04-29,122.41,25186.30560112,25481.3992900848,-295.093688964844,0
"176",2018-04-30,122.41,25186.30560112,25186.30560112,0,0
"177",2018-05-01,122.4,24892.4754199982,25186.30560112,-293.830181121826,0
"178",2018-05-02,122.4,24892.4754199982,24892.4754199982,0,0
"179",2018-05-03,122.39,24599.4500808716,24892.4754199982,-293.025339126587,0
"180",2018-05-04,122.39,24599.4500808716,24599.4500808716,0,0
"181",2018-05-05,122.38,24307.4750137329,24599.4500808716,-291.975067138672,0
"182",2018-05-06,122.37,24016.5164279938,24307.4750137329,-290.958585739136,0
"183",2018-05-07,122.37,24016.5164279938,24016.5164279938,0,0
"184",2018-05-08,122.36,23726.8347759247,24016.5164279938,-289.681652069092,0
"185",2018-05-09,122.36,23726.8347759247,23726.8347759247,0,0
"186",2018-05-10,122.35,23438.019197464,23726.8347759247,-288.815578460693,0
"187",2018-05-11,122.34,23150.2520484924,23438.019197464,-287.767148971558,0
"188",2018-05-12,122.33,22863.7615184784,23150.2520484924,-286.490530014038,0
"189",2018-05-13,122.32,22578.0775260925,22863.7615184784,-285.683992385864,0
"190",2018-05-14,122.31,22293.4022884369,22578.0775260925,-284.67523765564,0
"191",2018-05-15,122.31,22293.4022884369,22293.4022884369,0,0
"192",2018-05-16,122.3,22009.7858295441,22293.4022884369,-283.616458892822,0
"193",2018-05-17,122.29,21727.4474239349,22009.7858295441,-282.338405609131,0
"194",2018-05-18,122.29,21727.4474239349,21727.4474239349,0,0
"195",2018-05-19,122.28,21445.862865448,21727.4474239349,-281.584558486938,0
"196",2018-05-20,122.27,21165.3220806122,21445.862865448,-280.540784835815,0
"197",2018-05-21,122.26,20886.0120162964,21165.3220806122,-279.310064315796,0
"198",2018-05-22,122.26,20886.0120162964,20886.0120162964,0,0
"199",2018-05-23,122.25,20607.5752487183,20886.0120162964,-278.436767578125,0
"200",2018-05-24,122.24,20330.1578063965,20607.5752487183,-277.417442321777,0
"201",2018-05-25,122.23,20053.7804851532,20330.1578063965,-276.377321243286,0
"202",2018-05-26,122.23,20053.7804851532,20053.7804851532,0,0
"203",2018-05-27,122.22,19778.623916626,20053.7804851532,-275.156568527222,0
"204",2018-05-28,122.21,19504.2916908264,19778.623916626,-274.332225799561,0
"205",2018-05-29,122.22,19778.623916626,19504.2916908264,274.332225799561,0.00317514150230973
"206",2018-05-30,122.21,19504.2916908264,19778.623916626,-274.332225799561,0
"207",2018-05-31,122.19,18958.9747486115,19504.2916908264,-545.316942214966,0
"208",2018-06-01,122.18,18687.7437782288,18958.9747486115,-271.23097038269,0
"209",2018-06-02,122.18,18687.7437782288,18687.7437782288,0,0
"210",2018-06-03,122.17,18417.5285873413,18687.7437782288,-270.215190887451,0
"211",2018-06-04,122.16,18148.2938022614,18417.5285873413,-269.234785079956,0
"212",2018-06-05,122.14,17613.2067737579,18148.2938022614,-535.087028503418,0
"213",2018-06-06,122.14,17613.2067737579,17613.2067737579,0,0
"214",2018-06-07,122.13,17347.1379470825,17613.2067737579,-266.068826675415,0
"215",2018-06-08,122.12,17082.1227436066,17347.1379470825,-265.015203475952,0
"216",2018-06-09,122.11,16818.3756465912,17082.1227436066,-263.747097015381,0
"217",2018-06-10,122.1,16555.4729118347,16818.3756465912,-262.90273475647,0
"218",2018-06-11,122.09,16293.5625324249,16555.4729118347,-261.91037940979,0
"219",2018-06-12,122.08,16032.9015579224,16293.5625324249,-260.660974502563,0
"220",2018-06-13,122.08,16032.9015579224,16032.9015579224,0,0
"221",2018-06-14,122.07,15773.0175189972,16032.9015579224,-259.884038925171,0
"222",2018-06-15,122.06,15514.1483688354,15773.0175189972,-258.869150161743,0
"223",2018-06-16,122.04,14999.7018814087,15514.1483688354,-514.446487426758,0
"224",2018-06-17,122.03,14743.9856967926,14999.7018814087,-255.716184616089,0
"225",2018-06-18,122.03,14743.9856967926,14743.9856967926,0,0
"226",2018-06-19,122.01,14235.9952316284,14743.9856967926,-507.990465164185,0
"227",2018-06-20,122,13983.5702610016,14235.9952316284,-252.424970626831,0
"228",2018-06-21,122,13983.5702610016,13983.5702610016,0,0
"229",2018-06-22,121.98,13482.0968799591,13983.5702610016,-501.47338104248,0
"230",2018-06-23,121.97,13233.2890739441,13482.0968799591,-248.807806015015,0
"231",2018-06-24,121.96,12985.3954410553,13233.2890739441,-247.893632888794,0
"232",2018-06-25,121.95,12738.6616859436,12985.3954410553,-246.733755111694,0
"233",2018-06-26,121.95,12738.6616859436,12738.6616859436,0,0
"234",2018-06-27,121.94,12493.2690391541,12738.6616859436,-245.392646789551,0
"235",2018-06-28,121.93,12248.8935203552,12493.2690391541,-244.375518798828,0
"236",2018-06-29,121.92,12005.7980957031,12248.8935203552,-243.0954246521,0
"237",2018-06-30,121.92,12005.7980957031,12005.7980957031,0,0
"238",2018-07-01,121.9,11523.4896144867,12005.7980957031,-482.308481216431,0
"239",2018-07-02,121.89,11284.0478878021,11523.4896144867,-239.44172668457,0
"240",2018-07-03,121.88,11045.8146629333,11284.0478878021,-238.233224868774,0
"241",2018-07-04,121.87,10808.8109302521,11045.8146629333,-237.003732681274,0
"242",2018-07-05,121.86,10573.2529449463,10808.8109302521,-235.557985305786,0
"243",2018-07-06,121.86,10573.2529449463,10573.2529449463,0,0
"244",2018-07-07,121.83,9874.15048027039,10573.2529449463,-699.102464675903,0
"245",2018-07-08,121.82,9643.77219772339,9874.15048027039,-230.378282546997,0
"246",2018-07-09,121.8,9187.21334838867,9643.77219772339,-456.558849334717,0
"247",2018-07-10,121.81,9414.78351593018,9187.21334838867,227.570167541504,0.00263391397617481
"248",2018-07-11,121.78,8736.58673477173,9414.78351593018,-678.196781158447,0
"249",2018-07-12,121.79,8961.23330497742,8736.58673477173,224.646570205688,0.00260007604404732
"250",2018-07-13,121.77,8513.54809379578,8961.23330497742,-447.685211181641,0
"251",2018-07-14,121.76,8292.3939781189,8513.54809379578,-221.15411567688,0
"252",2018-07-15,121.75,8072.83374786377,8292.3939781189,-219.560230255127,0
"253",2018-07-16,121.73,7638.68040275574,8072.83374786377,-434.153345108032,0
"254",2018-07-17,121.72,7424.26251029968,7638.68040275574,-214.417892456055,0
"255",2018-07-18,121.71,7211.34722709656,7424.26251029968,-212.915283203125,0
"256",2018-07-19,121.7,7000.20784187317,7211.34722709656,-211.139385223389,0
"257",2018-07-20,121.7,7000.20784187317,7000.20784187317,0,0
"258",2018-07-21,121.69,6791.15670013428,7000.20784187317,-209.051141738892,0
"259",2018-07-22,121.67,6379.15702056885,6791.15670013428,-411.99967956543,0
"260",2018-07-23,121.64,5779.2781791687,6379.15702056885,-599.878841400146,0
